id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
1938,Gros Ventre,United States of America,USA,ats,Critically endangered,Atsina,,10.0,48.4824,-108.7639,,
1939,Gweno,United Republic of Tanzania,TZA,gwe,Critically endangered,,,10.0,-3.7135,37.6501,,
1940,Hoti,Indonesia,IDN,hti,Critically endangered,,,10.0,-3.0143,130.3692,,
1941,Hulung,Indonesia,IDN,huk,Critically endangered,,,10.0,-2.8614,128.5606,,
1942,Ibu,Indonesia,IDN,ibu,Critically endangered,,,10.0,1.5269,127.5265,,
1943,Iranxe,Brazil,BRA,irn,Critically endangered,"Irantxe, Manoki",,10.0,-12.6939,-57.843,,
1944,Kamarian,Indonesia,IDN,kzx,Critically endangered,Seruawan,,10.0,-3.4366,128.5345,,
1945,Karajarri,Australia,AUS,gbd,Critically endangered,"Karadjeri, Karajarri, Karrajarri, Garadjiri, Garadyari, Guradjara, Gard'are",,10.0,-19.0205,122.3437,,
1946,Karipuna,Brazil,BRA,kuq,Definitely endangered,"Kawahíb, Caripuna",,10.0,-10.2284,-64.5556,,
1947,Katawixi,Brazil,BRA,xat,Critically endangered,"Catawixi, Catauixi, Catawishi",,10.0,-8.8416,-66.0937,,
1948,Kawaiisu,United States of America,USA,xaw,Critically endangered,,,10.0,35.0589,-118.4026,,
1949,Krenak,Brazil,BRA,kqq,Critically endangered,"Crenaque, Nakrehé, Krenak-Nakrehé, Borun, Crenac, Krenac, Botocudos, Aimorés",,10.0,-19.1937,-41.1527,,
1950,Kurrama,Australia,AUS,vku,Critically endangered," Kurama, Gurama, Karama, Korama.",,10.0,-21.6383,117.9711,,
1951,Lardil,Australia,AUS,lbz,Critically endangered,"Leedil, Ladil, Lardill, Laierdila, Kunana.",,10.0,-16.5526,139.3176,,
1952,Lorediakarkar,Vanuatu,VUT,lnn,Critically endangered,,,10.0,-15.1967,167.0498,,
1953,Madngele,Australia,AUS,zml,Critically endangered,"Matngala, Matngele, Warat, Madngela, Maangella, Mandella, Muttangulla.",,10.0,-13.3789,130.5395,,
1954,Malak Malak,Australia,AUS,mpb,Critically endangered,"Mullukmulluk, Malak-Malak, Malagmalag, Ngolak-Wonga, Nguluwongga.",,10.0,-13.7713,130.6384,,
1955,Manchu (Amur),China,CHN,"juc, mnc",Critically endangered,,,10.0,49.7666,127.5,Southwest Tungus,Altaic
1956,Manchu (Nonni),China,CHN,"juc, mnc",Critically endangered,,,10.0,48.0083,124.3542,Southwest Tungus,Altaic
1957,Mandan,United States of America,USA,mhq,Critically endangered,,,10.0,47.5165,-102.2461,,
1958,Marrisyefin,Australia,AUS,zmj,Critically endangered,"Maridjabin, Marridan, Maretyabin, Maridyerbin, Maredyerbin.",,10.0,-13.934000000000001,129.8254,,
1959,Massalat,Chad,TCD,mdg,Critically endangered,,,10.0,12.7635,20.5993,,
1960,Matipu,Brazil,BRA,mzo,Critically endangered,Uagihütü,,10.0,-12.2366,-53.1875,,
1961,Mawayana (Brazil),"Brazil, Suriname","BRA, SUR","mpw, mzx",Critically endangered,Mapidian,,10.0,-0.9447,-58.2495,,
1962,Munsee (Canada),Canada,CAN,umu,Critically endangered,Delaware,,10.0,42.57,-81.87899999999999,,
1963,Ngardi,Australia,AUS,wpb,Critically endangered,,,10.0,-20.6327,128.5839,,
1964,Ngbinda,Democratic Republic of the Congo,ZAI,nbd,Critically endangered,,,10.0,4.6092,27.0812,,
1965,Northern Paiute (Idaho),United States of America,USA,pao,Critically endangered,"Paviotso, Bannock",,10.0,43.0439,-112.4566,,
1966,Nusa Laut,Indonesia,IDN,nul,Critically endangered,,,10.0,-3.6833,128.8,,
1967,Oneida (Wisconsin),United States of America,USA,one,Critically endangered,,,10.0,44.5158,-88.0075,,
1968,Onondaga (New York),United States of America,USA,ono,Critically endangered,,,10.0,43.047,-76.1422,,
1969,Osage,United States of America,USA,osa,Critically endangered,,,10.0,36.6683,-96.3316,,
1970,Parintintin,Brazil,BRA,pah,Critically endangered,Kagwahiwa,,10.0,-6.5773,-61.7871,,
1971,Pawnee,United States of America,USA,paw,Critically endangered,,,10.0,36.3372,-96.8032,,
1972,Puari,Papua New Guinea,PNG,pux,Critically endangered,,,10.0,-2.8689,141.6577,,
1973,Rembarrnga,Australia,AUS,rmb,Critically endangered,"Rembarrunga, Rembarranga, Rainbargo, Kaltuy.",,10.0,-13.3896,133.6706,,
1974,Sene,Papua New Guinea,PNG,sej,Critically endangered,,,10.0,-6.3753,147.7825,,
1975,Susuami,Papua New Guinea,PNG,ssu,Critically endangered,,,10.0,-7.2044,146.5493,,
1976,Taap,Papua New Guinea,PNG,wnc,Critically endangered,,,10.0,-6.146,146.3955,,
1977,Ter Saami,Russian Federation,RUS,sjt,Critically endangered,,,10.0,68.0638,38.7063,,
1978,Thao,China,CHN,ssf,Critically endangered,"Chuihwan, Vulung, Sao",,10.0,23.8808,120.9206,,
1979,Tule-Kaweah Yokuts,United States of America,USA,yok,Critically endangered,,,10.0,36.0269,-118.7213,,
1980,Tundra Enets,Russian Federation,RUS,enh,Critically endangered,Madu; Somatu; маду; сомату,,10.0,71.6973,83.5839,,
1981,Wichita,United States of America,USA,wic,Critically endangered,,,10.0,35.0647,-98.2788,,
1982,Xambioá,Brazil,BRA,kpj,Critically endangered,Karajá,,10.0,-7.1717,-49.1583,,
