id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
199,Maori,New Zealand,NZL,mri,Vulnerable,,,70000.0,-38.4105,177.3632,,
200,Tai Neua,Lao People's Democratic Republic,LAO,tdd,Vulnerable,Samneua Tai,,70000.0,20.5166,104.3166,,
201,Bhadravahi,"India, Pakistan","IND, PAK",bhd,Definitely endangered,Bhadrāvāhī; Baderwali; Badrohi; Bhaderbhai Jamu; Bhaderwali Pahari; Bhadrava; Bhadri; Bahi,,66918.0,33.5413,76.333,,
202,Kinnauri,India,IND,"kns, kfk, cif, tpq",Definitely endangered,Harijan boli; Ores boli; Sonar boli; Chamang boli,,65097.0,31.541,78.3764,,
203,Gallo-Sicilian,Italy,ITA,lmo,Definitely endangered,,,65000.0,38.0167,14.5994,,
204,Kurux (Bangladesh),Bangladesh,BGD,kru,Vulnerable,Kurukh; Oraon,,65000.0,25.8196,88.9672,,
205,Tz'utujil,Guatemala,GTM,"tzj, tzt",Definitely endangered,Tzutujil,,63237.0,14.6394,-91.2301,,
206,Chamorro,Guam (U.S.A.),GUM,cha,Vulnerable,,,62500.0,13.4323,144.7338,,
207,Ashaninka (Peru),Peru,PER,"cjo, cni, cpb, cpc, cpu, cpy, prq",Vulnerable,"Asheninka, campa",,62468.0,-10.6929,-74.3444,,
208,Chang,India,IND,nbc,Vulnerable,,,62000.0,26.2934,94.9493,,
209,Kuna (Panama),Panama,PAN,"kvn, cuk",Vulnerable,"Cuna, Tule, Dule",,61703.0,9.5983,-79.6334,,
210,Churahi,India,IND,cdj,Definitely endangered,Chaurahi; Churahi Pahari; Churai Pahari,,61199.0,33.1835,76.5747,,
211,Nruanghmei,India,IND,nbu,Vulnerable,"Maruongamai, Rongmei, Rongmai",,61000.0,24.9661,93.5375,,
212,Rengma,India,IND,"nnl, nre",Vulnerable,"Rengma is often divided into 'northern' and 'southern,' and even 'eastern' varieties.  I have opted for 'Rengma' to cover them all for convenience and clarity, and until further field data is collected",,61000.0,25.958000000000002,94.2462,,
213,Faroese,Faroe Islands,FRO,fao,Vulnerable,,,60000.0,62.0112,-6.7785,,
214,Northern Tujia,China,CHN,tji,Severely endangered,Biji,,60000.0,28.828000000000003,109.5904,,
215,Torwali,Pakistan,PAK,trw,Definitely endangered,Torwālī,,60000.0,35.5833,72.5,,
216,Chuj (Guatemala),Guatemala,GTM,"cnm, cac",Vulnerable,,,59048.0,15.8259,-91.4783,,
217,Kachari,India,IND,xac,Definitely endangered,Cachari,,59000.0,25.2844,93.2189,,
218,Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,GBR,gla,Definitely endangered,,,58552.0,58.1011,-6.7675,,
219,Kashubian,Poland,POL,csb,Severely endangered,,,53000.0,54.2267,18.1713,,
220,Khakas,Russian Federation,RUS,kjh,Definitely endangered,"dialects: Kacha, Sagay, Kyzyl, Koibal, Beltir, Shor",,52217.0,53.7746,90.3735,,
221,Parji,India,IND,pci,Critically endangered,Duruwa; Dhurwa; Durva; Dhruva; Parjhi; Paraja; Thakara; Tagara; Tugara,,51216.0,18.5629,82.8039,,
222,Arvanitika,Greece,GRC,aat,Severely endangered,Arvanite Albanian,arbërisht,50000.0,38.1863,23.6096,,
223,Buryat (Cis-Baikal),Russian Federation,RUS,"bxm, bxr, bxu",Severely endangered,,,50000.0,52.7961,104.8809,,
224,Buryat (Manchuria),"China, Mongolia","CHN, MNG","bxm, bxr, bxu",Definitely endangered,,,50000.0,49.8096,119.7509,,
225,Cuona Menba,"Bhutan, China, India","BTN, CHN, IND",twm,Vulnerable,"Moinba, Central Monpa (Walong, India); Tawang Monpa",,50000.0,26.8279,95.3623,,
226,Eastern Cham,Viet Nam,VNM,cjm,Definitely endangered,,,50000.0,10.7833,108.0833,,
227,Hmar,India,IND,hmr,Vulnerable,,,50000.0,24.576999999999998,93.3178,,
228,Huzhu Monguor,China,CHN,mjg,Severely endangered,Mongghul; Mongghuor,,50000.0,36.7608,102.4255,,
229,Paite,India,IND,"pck, smt",Vulnerable,,,50000.0,24.1968,93.3563,,
230,Quichua (Imbabura),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Kichwa, Runashimi, Runa simi, Quichua del norte, Otavalo Quichua (Ethnologue), , Quechua",,50000.0,0.1757,-78.2006,,
231,Soqotri,Yemen,YEM,sqt,Severely endangered,"sk'ot'ri, sk'ot'riyyet, suqutri",,50000.0,12.5331,53.766999999999996,,
232,Southern Altay,Russian Federation,RUS,alt,Definitely endangered,"dialects: Altay, Teleut (Telengut), Telengit; алтайский диалект, телеутский диалект, теленгитский диалект",,50000.0,51.068999999999996,86.5942,,
233,Turoyo,"Syrian Arab Republic, Turkey","SYR, TUR",tru,Severely endangered,Ṭuroyo,,50000.0,37.405,41.3745,,
234,Võro-Seto,"Estonia, Russian Federation","EST, RUS",est,Definitely endangered,,,50000.0,57.8096,27.29,,
235,West Greenlandic,Greenland (Kingdom of Denmark),GRL,kal,Vulnerable,Kalaallisut,,50000.0,64.1681,-51.7236,,
236,Western Armenian (Turkey),Turkey,TUR,hye,Definitely endangered,,արևմտահայ,50000.0,41.0213,28.9324,,
237,Zaramo,United Republic of Tanzania,TZA,zaj,Definitely endangered,,,50000.0,-6.922000000000001,39.2409,,
238,Papantla Totonac,Mexico,MEX,top,Definitely endangered,"Lowland Totonac, Totonaco de la costa",,49748.0,20.4477,-97.32,,
239,Wancho,India,IND,nnp,Vulnerable,,,49000.0,26.9759,95.4656,,
240,Bhumji,India,IND,bij,Vulnerable,,,47000.0,21.8003,86.8139,,
241,Cosung (China),China,CHN,lkc,Definitely endangered,"Kucong, Lahlu",,47000.0,22.6833,102.6666,,
242,Cosung (Viet Nam),Viet Nam,VNM,lkc,Definitely endangered,"Kucong, Lahlu",,47000.0,22.6166,102.75,,
243,Baheng (China),China,CHN,pha,Vulnerable,"Pa Hng, Pa Then",,45000.0,26.19,110.24,,
244,Lumun,Sudan,SDN,lmd,Definitely endangered,Lomon,,45000.0,10.8387,30.0338,,
245,Quichua (Loja),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Severely endangered,"Kichwa, Runashimi, (Quichua Loja Highland, Ethnologue), Quechua",,45000.0,-3.6236,-79.2388,,
246,Chamling,Nepal,NPL,rab,Definitely endangered,चाम्लिङ; Dsamling; Camling,,44093.0,27.0499,86.7329,,
247,Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland","IRL, GBR",gle,Definitely endangered,Irish Gaelic,,44000.0,53.7876,-9.1845,,
248,Reshe,Nigeria,NGA,res,Vulnerable,,,44000.0,10.8791,4.6115,,
249,Sierra Otomí,Mexico,MEX,otm,Vulnerable,"Otomí del este, Otomí oriental, yuhú, ñuju,ñojo",,43468.0,20.1021,-97.62200000000001,,
250,Phuthi,Lesotho,LSO,ssw,Definitely endangered,,,43000.0,-29.3791,28.2838,,
251,Rarotongan,Cook Islands,COK,rar,Vulnerable,,,43000.0,-21.2343,-159.7837,,
252,Khalaj,Iran (Islamic Republic of),IRN,klj,Vulnerable,Turkic,,42100.0,34.3751,50.3063,,
253,Dungan,"Kazakhstan, Kyrgyzstan","KAZ, KGZ",dng,Definitely endangered,"Dzhunyan, Tungan, Huizu, Zwn'jan, Kwuizwu",,41000.0,42.4518,78.4643,,
254,Kheza,India,IND,nkh,Vulnerable,"Kezami, Khezhama, Khezha",,41000.0,25.6811,94.367,,
255,Jola-Kassa,Senegal,SEN,csk,Vulnerable,,,40850.0,13.1089,-15.8999,,
256,Satār,Nepal,NPL,sat,Vulnerable,सतार; Santali; Santhali; हारी; Hārī,,40260.0,26.5541,87.91799999999999,,
257,Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)","ARG, BOL","gnw, gui",Vulnerable,Chiriguano. Izoceño. Ava.,,40000.0,-20.1694,-63.8525,,
258,Gutob,India,IND,gbj,Vulnerable,"Sodia, Gadaba, Gadba",,40000.0,18.7086,83.5839,,
259,Kheng,Bhutan,BTN,xkf,Vulnerable,Khen; Keng; Ken,,40000.0,27.0786,91.0272,,
260,Laro,Sudan,SDN,lro,Definitely endangered,,,40000.0,10.7685,29.901999999999997,,
261,Minyong,India,IND,adi,Vulnerable,Adi,,40000.0,28.2632,95.0537,,
262,Mru,Myanmar,MMR,mro,Severely endangered,Murung; Mrung; Maru; Niopreng,,40000.0,21.7748,92.2741,,
263,"Quechua of Cajatambo, Pasco and northern Junín",Peru,PER,"qvn, qvr, qva, qxa, qxt, qxh, qvl",Severely endangered,"Quechua, Nunashimi. Yaru.",,40000.0,-10.6147,-76.506,,
264,Quichua (Napo),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Kichwa, Runa Shimi, Runa Simi, Quichua Napo lowland (Ethnologue), Quechua",,40000.0,-0.6371,-77.1459,,
265,Tangsa,India,IND,nst,Vulnerable,Tase,,40000.0,27.4059,96.427,,
266,Awajun,Peru,PER,agr,Vulnerable,Aguaruna,,39000.0,-4.3464,-77.8271,,
267,Khiamngan,India,IND,nky,Vulnerable,"Khiamnuungan, Khiemngan",,38000.0,26.0518,95.1031,,
268,Ngile,Sudan,SDN,jle,Severely endangered,"Masakin, Taloka, Darra",,38000.0,10.7901,29.8635,,
269,Phunoi,Lao People's Democratic Republic,LAO,pho,Vulnerable,Sinsali,,37311.0,21.6833,102.1,,
270,Maram,India,IND,nma,Vulnerable,,,37000.0,25.185,93.9715,,
271,Western Mari,Russian Federation,RUS,mrj,Severely endangered,Hill Mari,,36822.0,56.3317,46.5545,,
272,Chepang,Nepal,NPL,"cdm, byh",Vulnerable,चेपाङ; Bhujeli (dialect); Bujhyal,,36807.0,27.7552,84.8144,,
273,Chontal Tabasco,Mexico,MEX,chf,Severely endangered,yoko t'an,,36514.0,17.7607,-92.5936,,
274,Muji,China,CHN,"ymx, ymq, ymc, ymi, ymz",Definitely endangered,,,36500.0,23.6,102.7333,,
275,Akatek (Guatemala),Guatemala,GTM,knj,Vulnerable,"Acateco, Akateco",,35763.0,15.5724,-91.4218,,
276,Huichol,Mexico,MEX,hch,Vulnerable,wixarika,,35724.0,22.65,-103.5833,,
277,Romansh,Switzerland,CHE,roh,Definitely endangered,,,35095.0,46.5777,9.6954,,
278,Apatani,India,IND,apt,Vulnerable,Apa Tani,,35000.0,27.5228,93.8177,,
279,Galo,India,IND,adl,Vulnerable,"Gallong, Adi Galo",,35000.0,28.1688,94.7433,,
280,Korwa,India,IND,kfp,Vulnerable,"Koroa, Ernga",,35000.0,22.4922,84.1552,,
281,Shuar chicham,Ecuador,ECU,jiv,Definitely endangered,"Shuara, Jivaro, Jibaro (These last two names connote the sense of savage and are rejected by the speakers)",,35000.0,-2.8826,-78.0303,,
282,Ticuna,"Brazil, Colombia, Peru","BRA, COL, PER",tca,Definitely endangered,Tikuna,,35000.0,-4.3464,-70.0048,,
283,Wanka Quechua,Peru,PER,"qhu, qhj, qxw, qvw",Severely endangered,Quichua. Nunashimi. Huanca.,,35000.0,-12.136,-75.2453,,
284,Sikuani,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN","guh, gob",Vulnerable,"Guahibo, Hiwi. Playero is a subgroup.",,34614.0,3.4256,-68.8183,,
285,Jakaltek (Guatemala),Guatemala,GTM,jai,Definitely endangered,Poptí,,34038.0,15.6685,-91.7111,,
286,Liangmai,India,IND,njn,Vulnerable,Liangmei,,34000.0,25.2794,93.6694,,
287,Zeme,India,IND,nzm,Vulnerable,Zemi,,34000.0,25.5027,93.5595,,
288,Highland Mazatec,Mexico,MEX,mau,Vulnerable,"enna, Mazateco de la sierra",,33859.0,18.1307,-96.8436,,
289,Thangmi,Nepal,NPL,thf,Definitely endangered,थामी; Thami,,33500.0,27.6969,86.0057,,
290,Nocte,India,IND,njb,Vulnerable,,,33000.0,27.1618,95.7952,,
291,Mayo,Mexico,MEX,mfy,Critically endangered,yorem-nokki,,32869.0,26.9114,-109.6271,,
292,Lauje,Indonesia,IDN,law,Vulnerable,,,32000.0,-0.4531,119.9816,,
293,Danuwar,Nepal,NPL,dhw,Severely endangered,दनुवारी; Dhanwar,,31849.0,26.9661,86.3223,,
294,Sirmaudi,India,IND,srx,Critically endangered,Sirmauri; Sirmouri; Sirmuri,,31144.0,30.9823,77.1569,,
295,Abaza,"Russian Federation, Turkey","RUS, TUR",abq,Definitely endangered,Tapanta,,31000.0,44.1556,41.9368,,
296,Koch,India,IND,kdq,Definitely endangered,"Koc, Kocch, Koce, Kochboli, Konch",,31000.0,25.7603,90.3955,,
297,Amis,China,CHN,ami,Vulnerable,Ami,,30000.0,23.4456,121.4483,,
298,Biak,Indonesia,IDN,bhw,Vulnerable,,,30000.0,-0.3076,131.2207,,
299,Bumthang,Bhutan,BTN,kjz,Vulnerable,"Bumtanp; Bumtang, Kebumtamp; Bhumtam",,30000.0,27.491999999999997,90.7159,,
300,Burgenland Croatian,"Austria, Hungary, Slovakia","AUT, HUN, SVK","bos, hrv, srp",Definitely endangered,,,30000.0,47.8435,16.5179,,
301,Dzhidi,Iran (Islamic Republic of),IRN,jpr,Definitely endangered,"Judeo-Persian, Djudi, Judi",,30000.0,33.5139,48.0102,,
302,Judeo-Berber (Israel),Israel,ISR,jbe,Severely endangered,,,30000.0,31.6767,34.5684,,
303,Kham,Nepal,NPL,"kgj, kip",Definitely endangered,खाम;,,30000.0,28.4321,82.9635,,
304,Ladin,Italy,ITA,lld,Definitely endangered,,,30000.0,46.5531,11.8597,,
305,Lepcha,"Bhutan, India, Nepal","BTN, IND, NPL",lep,Definitely endangered,Lapche; Rong; Róng,,30000.0,27.1153,88.4687,,
306,Maonan,China,CHN,mmd,Vulnerable,,,30000.0,24.8341,107.57700000000001,,
307,"Mok (Myanmar, Thailand)","Myanmar, Thailand","MMR, THA",tlq,Definitely endangered,"Loi, Tai Loi",,30000.0,21.7333,99.7666,,
308,Moro,Sudan,SDN,mor,Definitely endangered,Dhimorong,,30000.0,10.8872,30.1904,,
309,Mulam,China,CHN,mlm,Vulnerable,,,30000.0,24.6341,108.2895,,
310,North Saami,"Finland, Norway, Russian Federation, Sweden","FIN, NOR, RUS, SWE",sme,Definitely endangered,sámegiella (North Saami),davvisámegiella,30000.0,68.9099,22.9394,,
311,Quechua of Cajamarca,Peru,PER,"qnt, quf",Severely endangered,Quechua Cajamarca-Cañaris,,30000.0,-7.1772,-78.673,,
312,Quichua (Pastaza),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Pastaza Kichwa, Runa Simi, Quichua Northern Pastaza, Bobonaza Quichua, Alama, Canelos Quichua, Sarayacu Quichua, Quichua Northern Pastaza lowland (Ethnologue), Quechua",,30000.0,-1.7575,-76.8603,,
313,Rushani,"Tajikistan, Afghanistan","TJK, AFG",sgh,Definitely endangered,"rušanǐ, рушони; dialect: Khufi (en), хуфский (ru)",,30000.0,37.8705,71.5979,,
314,Tialo,Indonesia,IDN,txm,Vulnerable,Tomini,,30000.0,0.4888,120.8935,,
315,Tidikelt,Algeria,DZA,tia,Critically endangered,Tidikelt is the name of the region. Now referred to with the generic term Tamazight (of Tidikelt),,30000.0,26.8828,2.5488,,
316,Toba,Argentina,ARG,tob,Definitely endangered,"Chaco Sur, Qom, Toba Qom, Toba Sur.
Also spoken in Paraguay  (1991 SIL)",,30000.0,-25.958000000000002,-59.0625,,
317,Tundra Nenets,Russian Federation,RUS,yrk,Definitely endangered,ненецкий,,30000.0,67.5001,67.7856,,
318,Wuse,China,CHN,eee,Vulnerable,E,,30000.0,24.878,109.1053,,
319,Agul,Russian Federation,RUS,agx,Definitely endangered,Aghul,,29399.0,41.7518,47.6875,,
320,Rutul,"Azerbaijan, Russian Federation","AZE, RUS",rut,Definitely endangered,Mukhad,,29383.0,41.5332,47.3181,,
321,Bateri,Pakistan,PAK,btv,Definitely endangered,"Bateri Kohistani, Batera Kohistani, Baterawal, Baterawal Kohistani",,29000.0,34.9073,72.8675,,
322,Mzieme,India,IND,nme,Vulnerable,,,29000.0,25.6019,93.8891,,
323,Ghale,Nepal,NPL,"ght, ghh, ghe",Vulnerable,घले,,28989.0,28.2501,84.71799999999999,,
324,Sierra Popoluca,Mexico,MEX,poi,Vulnerable,,,28700.0,18.245,-94.76,,
325,Kurux (Nepal),Nepal,NPL,kru,Vulnerable,Dhangar; Jhangar; ढाङ्गड; ढाङ्गर; झाङ्गड,,28615.0,26.6032,87.2259,,
326,Deori,India,IND,der,Definitely endangered,"Chutiya, Deuri, Dewri, Drori, Dari",,28000.0,27.1911,94.1528,,
327,Soyaltepec Mazatec,Mexico,MEX,vmp,Vulnerable,"en naxijen, Mazateco de Soyaltepec, Northeastern Mazatec",,27524.0,18.2499,-96.3995,,
328,Sibe,China,CHN,sjo,Severely endangered,"Xibe, Sibo, Xibo",,27000.0,43.6599,81.3427,,
329,Isthmus Náhuatl,Mexico,MEX,nhk,Vulnerable,,,26632.0,18.2209,-94.8382,,
330,Sunwar,Nepal,NPL,suz,Vulnerable,सुनवार; Sunuwar; Sunbar; Sonowar; Sonowal; Koĩc,,26611.0,27.3485,86.2337,,
331,Mancagne,Senegal,SEN,knf,Vulnerable,Bola,,26450.0,12.7743,-15.6967,,
332,Gadaba,India,IND,"gdb, gau",Critically endangered,Ollari; Hallari; Allar; Ollar; Gadba; San Gadba; Sano;  Kondekar; Kondkor Pottangi; Salur,,26262.0,18.3858,82.7819,,
333,Banat Bulgarian,"Romania, Serbia","ROU, SRB",bul,Definitely endangered,,,25000.0,45.4832,20.9069,,
334,Csángó Hungarian,Romania,ROU,hun,Severely endangered,,,25000.0,46.7925,27.1911,,
335,Koda,India,IND,cdz,Vulnerable,Kora,,25000.0,22.1263,87.0776,,
336,Minhe Monguor,China,CHN,mjg,Definitely endangered,Mangghuer,,25000.0,36.4919,102.6452,,
337,Olonetsian,"Finland, Russian Federation","FIN, RUS",olo,Definitely endangered,Livvi,,25000.0,61.1273,32.8765,,
338,Saek,"Lao People's Democratic Republic, Thailand","LAO, THA",skb,Definitely endangered,,,25000.0,19.3166,104.7833,,
339,Sioux,United States of America,USA,dak,Vulnerable,"Sioux covers several dialects: Santee-Sisston (Dakota), Yankton-Yanttonai, and Teton (Lakota).",,25000.0,43.0588,-102.5244,,
340,Tamazight (Beni Iznassen),Morocco,MAR,rif,Definitely endangered,Berber; Tachelhiyt; Tashelhit; Chelha; Yeznasniyya; Tayeznasniyt; Tmazight nayt Izznassen,,25000.0,34.7506,-2.1917,,
341,Tsakhur,"Azerbaijan, Russian Federation","AZE, RUS",tkr,Definitely endangered,,,25000.0,41.6523,46.9775,,
342,Warao,"Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",wba,Definitely endangered,,,25000.0,8.6027,-61.3806,,
343,Majhi,Nepal,NPL,bmj,Severely endangered,माझी; Boṭ; Bote-Majhi,,24664.0,27.9208,83.5082,,
344,Jone,China,CHN,cda,Definitely endangered,Joni; Choni; Jone Tibetan; Joni Tibetan,,24000.0,34.5947,103.5653,,
345,Andi,Russian Federation,RUS,ani,Definitely endangered,,,23729.0,42.7308,46.2963,,
346,Guambiano,Colombia,COL,gum,Definitely endangered,Misag,,23462.0,2.6138,-76.3906,,
347,Anal,India,IND,anm,Vulnerable,,,23000.0,24.1517,93.9385,,
348,Hawrami,"Iran (Islamic Republic of), Iraq","IRN, IRQ","bjm, hac, sdb, sdf",Definitely endangered,"Hewrami, Howrami, Hawramani, Awromani, Gurani, Gorani",,23000.0,35.4259,46.2551,,
349,Juang,India,IND,jun,Definitely endangered,,,23000.0,21.0742,85.6164,,
350,Tiwa,India,IND,lax,Definitely endangered,Lalung,,23000.0,25.7801,92.5927,,
351,Embera (Panama),Panama,PAN,"emp, cmi, cto, sja, bdc, tdc, crf",Vulnerable,Chocó,,22485.0,8.1179,-77.7429,Choco,Choco
352,Ediamat,Guinea-Bissau,GNB,eja,Vulnerable,Ejamat,,22025.0,12.2621,-16.5289,,
353,Mara,India,IND,mrh,Definitely endangered,"Lakher, Zao, Maram, Mira",,22000.0,23.5237,92.9003,,
354,Maring,India,IND,nng,Vulnerable,,,22000.0,24.6769,94.3835,,
355,Polci cluster,Nigeria,NGA,plj,Definitely endangered,,,22000.0,9.9742,9.3328,,
356,Sarikoli,China,CHN,srh,Definitely endangered,"Sarikuli, Sarykoly, Sariqoli, Sariquli, сариқули",,22000.0,37.9463,75.1272,,
357,Krongo,Sudan,SDN,kgo,Definitely endangered,,,21688.0,10.585,29.8883,,
358,Ashtiani,Iran (Islamic Republic of),IRN,atn,Definitely endangered,"Astiani, Ashtiyani",,21000.0,34.4861,51.0562,,
359,Khunsari,Iran (Islamic Republic of),IRN,kfm,Definitely endangered,,,21000.0,32.8795,51.6796,,
360,Semnani,Iran (Islamic Republic of),IRN,"lsa, sgr, smy, sqo",Definitely endangered,"Lasgerdi, Sangisari, Sorkhei",,21000.0,34.8679,53.4924,,
361,Plains Cree,Canada,CAN,crk,Vulnerable,,,20933.0,56.3544,-113.8345,,
362,Aluo,China,CHN,yna,Definitely endangered,"Laka, Gan Yi",,20000.0,25.9368,102.1839,,
363,Bru,Thailand,THA,brv,Definitely endangered,,,20000.0,15.3174,105.4938,,
364,Cho-ca-nga-ca-kha,Bhutan,BTN,cgk,Definitely endangered,"Chocangacakha; Maphekha, Rtsamangpa'ikha; Tsagkaglingpa'ikha; Kursmadkha",,20000.0,27.4107,91.2277,,
365,Crimean Tatar (Dobruja),"Bulgaria, Romania","BGR, ROU","crh, jct",Severely endangered,крымскотатарский (ru),,20000.0,43.9414,28.3062,,
366,Dhimal,Nepal,NPL,dhi,Severely endangered,धिमाल,,20000.0,26.6192,87.4635,,
367,Griko (Salento),Italy,ITA,ell,Severely endangered,,,20000.0,40.1578,18.2208,,
368,Kaiowá Guarani,Brazil,BRA,"kgk, pta",Vulnerable,"Kaiova, Paï-Tavyterã, Tembekuára",,20000.0,-21.5812,-55.0759,,
369,Karelian (Karelia),"Finland, Russian Federation","FIN, RUS",krl,Definitely endangered,,,20000.0,63.0474,33.4616,,
370,Khoirao,India,IND,nki,Vulnerable,Koirao,,20000.0,25.2198,94.1583,,
371,Manchad,India,IND,lae,Vulnerable," Manchati, Pattani, Patani, Chamba, Chamba Lahuli, Lahuli",,20000.0,32.6578,77.5415,,
372,Mariupolitan Greek,Ukraine,UKR,ell,Severely endangered,Crimean Greek; Tauro-Romaic,,20000.0,47.1364,37.5444,,
373,Pemon (Venezuela),"Guyana, Venezuela (Bolivarian Republic of)","GUY, VEN",aoc,Vulnerable,,,20000.0,5.1347,-61.853,,
374,Tacenwit,Algeria,DZA,cnu,Vulnerable,"Tachenuit, Chenoui, Chenoua, Haqbaylit, Taqbaylit",,20000.0,36.5703,2.2892,,
375,Western Neo-Aramaic,Syrian Arab Republic,SYR,amw,Definitely endangered,"Ma'lula,  Siryoon, Aroomay
",,20000.0,33.8339,36.5405,,
376,Yaghnobi,Tajikistan,TJK,yai,Definitely endangered,яғноби,,20000.0,38.5632,68.4475,,
377,Yeyi,Botswana,BWA,yey,Definitely endangered,Yei,,20000.0,-19.4562,23.2031,,
378,Boro,,,bwo,Definitely endangered,Shinasha,,19878.0,10.3581,35.0024,,
379,Sorbian,Germany,DEU,"dsb, hsb",Definitely endangered,Lusatian; Wendish,,19500.0,51.5001,14.4744,,
380,Biete,India,IND,biu,Definitely endangered,"Baite, Bete, Biate",,19000.0,25.6514,93.2409,,
381,Hrangkhol,India,IND,hra,Vulnerable,,,19000.0,24.1467,92.3071,,
382,Terena,Brazil,BRA,ter,Severely endangered,"Terêna, Tereno",,19000.0,-20.2841,-55.4638,,
383,Kati,"Pakistan, Afghanistan","PAK, AFG","bsh, xvi",Definitely endangered,"Bashgali, kâmk'ata, mumkSt'a viri, Kativiri, Nuristani, Kamkata-viri; Kamviri (dialect)",,18700.0,35.3845,71.3177,,
384,Kulung,Nepal,NPL,kle,Vulnerable,कुलुङ; Khulung; Kholung; Kulu Ring,,18686.0,27.518,86.9375,,
385,Kaingang,Brazil,BRA,kgp,Definitely endangered,"Caingangue, Kanhgág",,18500.0,-28.1495,-52.4707,,
386,Lowland Mazatec,Mexico,MEX,maj,Vulnerable,"ntaxjo, Mazateco de Jalapa de Díaz",,18389.0,18.0801,-96.5236,,
387,Vafsi,Iran (Islamic Republic of),IRN,vaf,Definitely endangered,,,18000.0,34.0867,49.8861,,
388,Bassari,Senegal,SEN,bsc,Vulnerable,,,17910.0,12.4419,-12.6617,,
389,Bayot,Senegal,SEN,bda,Vulnerable,,,17150.0,12.4218,-16.4149,,
390,Pochuri,India,IND,npo,Vulnerable,Pochury,,17000.0,25.6712,94.779,,
391,Tamahaq (Libya),Libyan Arab Jamahiriya,LBY,thv,Definitely endangered,"Tahaggart, Touareg, Tuareg, Kel Ajjer",,17000.0,24.9611,10.1733,,
392,Swampy Cree,Canada,CAN,csw,Vulnerable,,,16685.0,53.9849,-97.7626,,
393,Koraga,India,IND,kfd,Critically endangered,"Koragar(a); Korangi;  Korra; Mu:du
",,16665.0,11.6952,75.6738,,
394,Oyda,Ethiopia,ETH,oyd,Vulnerable,,,16597.0,5.9438,36.6503,,
395,Pangvali,India,IND,pgg,Critically endangered,Pangwali; Pangi; Pangwali- Pahari,,16285.0,33.4589,76.9152,,
396,Shipibo-Conibo,Peru,PER,shp,Definitely endangered,,,16085.0,-8.4289,-74.6411,,
397,Amba,Uganda,UGA,rwm,Vulnerable,,,16000.0,0.6737,30.198,,
398,Tsez,Russian Federation,RUS,ddo,Definitely endangered,Dido; дидойский,,15356.0,42.2376,45.8734,,
399,Bonan,China,CHN,peh,Definitely endangered,Bao’an,,15000.0,36.089,102.84299999999999,,
400,Chrau,Viet Nam,VNM,crw,Definitely endangered,,,15000.0,10.5634,107.1496,,
401,Dari,Iran (Islamic Republic of),IRN,gbz,Definitely endangered,"Gabri, Gabri, Gabar, Yazdi, Zoroastrian,",,15000.0,31.8402,54.1625,,
402,Dzala,Bhutan,BTN,dzl,Vulnerable,Dzalamat; Yangtsebikha,,15000.0,27.7078,91.3623,,
