Language,Code,Subgroup,Family
Tonkawa,tqw,Coahuiltecan,Coahuiltecan
Torona,tqr,Tocho,Niger-Congo
Totoro,ttk,Coconucan,Barbacoan
"Tripuri, Early",xtr,Bodo-Garo,Sino-Tibetan
Truká,tka,Unclassified,Unclassified
Tsetsaut,txc,Athapaskan,Na-Dene
Tubar,tbu,Tubar,Uto-Aztecan
Tukumanféd,tkf,Kawahib (VI),Tupi
Tumshuqese,xtq,Southeast Eastern Iranian,Indo-European
Tunica,tun,Gulf,Gulf
Tupí,tpw,Tupi (III),Tupi
Tupinambá,tpn,Tupi (III),Tupi
Tupinikin,tpk,Tupi (III),Tupi
Turiwára,twt,Tenetehara (IV),Tupi
"Turkish, Old",otk,Turkic,Altaic
Turung,try,Northwest East-Central Tai,Tai-Kadai
Tutelo,tta,Tutelo,Siouan
Tuxá,tud,Language Isolate,Language Isolate
Tuxináwa,tux,Yaminahua-Sharanahua,Panoan
Twana,twa,Twana,Salishan
Uamué,uam,Unclassified,Unclassified
Ubykh,uby,Ubyx,Northwest Caucasian
Ugaritic,uga,Canaanite,Afroasiatic
"Uighur, Old",oui,Turkic,Altaic
Umbrian,xum,Umbrian,Indo-European
Umotína,umo,Bororo Proper,Macro-Ge
"Umpqua, Upper",xup,Nuclear Na-Dene,Na-Dene
Unami,unm,Eastern Algonquian,Algic
Urartian,xur,Hurro-Urartean,Hurro-Urartean
Uruava,urv,Mono-Uruava,Austronesian
Urumi,uru,Ramarama,Tupi
Vandalic,xvn,East Germanic,Indo-European
Vano,vnk,Vanikoro,Austronesian
Venetic,xve,Unclassified Indo-European,Indo-European
Ventureño,veo,Chumash,Chumash
Vestinian,xvs,Unclassified Italic,Indo-European
Volscian,xvo,Umbrian,Indo-European
Waamwang,wmn,Hmwaveke,Austronesian
Wailaki,wlk,Mattole-Wailaki,Na-Dene
Wakoná,waf,Unclassified,Unclassified
Wampanoag,wam,Eastern Algonquian,Algic
Wandarang,wnd,Mara,Australian
Wariyangga,wri,Inland Ngayarda,Australian
Wasu,wsu,Unclassified,Unclassified
"Welsh, Middle",wlm,Brittonic,Indo-European
"Welsh, Old",owl,Brittonic,Indo-European
